area,dist_subway,floor,rent
16,850,3,42.3
18,1200,2,38.1
20,300,5,58.4
22,750,4,53.2
24,1100,2,48.7
25,450,7,62.1
26,900,3,54.8
28,200,10,75.3
28,1400,1,44.2
30,600,6,68.9
30,950,4,60.3
32,350,8,76.4
32,1300,2,52.1
34,500,9,78.2
34,1100,3,61.7
36,250,11,85.6
36,800,5,70.4
38,400,12,88.3
38,1200,4,67.2
40,300,10,88.9
40,900,6,76.8
42,550,13,92.4
42,1100,5,78.3
44,200,14,98.7
44,800,7,84.5
46,400,11,96.2
46,1000,6,82.1
48,300,13,101.4
48,900,8,89.7
50,200,15,108.3
50,700,10,95.6
22,600,5,54.1
26,400,8,66.3
30,1300,3,55.8
34,700,7,72.4
38,550,9,82.7
42,350,12,95.3
20,1000,3,45.6
28,500,6,67.8
36,650,10,78.9
