area,dist_subway,floor,build_year,noise_level,rent
22,299,3,2002,10,62.6
52,1431,14,2020,7,127.1
21,612,5,2000,10,58.2
48,1278,12,2017,5,114.7
24,596,6,2003,10,65.6
18,419,4,1998,5,47.5
30,664,7,2005,7,77.4
44,1083,10,2014,9,105.9
56,1560,15,2023,5,133.4
29,691,7,2006,1,75.3
37,854,9,2012,10,91.6
44,1224,12,2017,10,114.6
45,1364,13,2017,1,104.9
43,1157,12,2015,2,101.6
55,1569,14,2022,6,132.6
17,353,3,1997,9,48.7
34,880,8,2013,8,88.3
53,1362,15,2022,5,132.0
54,1436,15,2022,1,130.1
21,449,2,1999,7,49.3
43,968,10,2016,5,107.1
27,551,5,2003,6,66.4
31,623,6,2005,7,80.7
19,170,1,1997,3,49.4
21,326,1,1998,10,50.2
20,405,3,1998,3,50.0
26,604,6,2004,5,68.5
37,1036,10,2012,6,89.9
39,1038,9,2013,9,92.7
52,1565,14,2020,5,122.7
36,901,9,2011,1,90.1
43,1070,12,2013,4,104.5
21,435,2,1998,5,50.0
32,711,8,2006,10,82.6
24,560,4,2002,10,56.5
30,803,5,2007,5,67.7
49,1351,13,2020,7,116.5
15,207,1,1995,4,39.6
34,869,8,2010,1,84.9
48,1250,14,2016,5,121.8
23,462,3,2001,7,60.8
33,775,8,2009,10,84.0
22,347,3,1998,10,57.0
42,1041,11,2014,6,101.0
49,1148,12,2018,5,119.5
16,162,2,1996,4,44.2
17,156,3,1995,2,48.7
53,1374,14,2023,4,126.4
40,1017,11,2011,10,101.0
43,1098,12,2016,10,112.7
49,1322,12,2019,3,116.3
37,849,8,2011,10,93.4
39,918,9,2011,1,97.1
46,1274,12,2019,8,111.1
22,565,4,2001,5,56.2
28,665,7,2007,4,73.1
26,460,4,2003,8,67.2
31,846,6,2008,7,73.1
39,961,9,2011,2,94.5
34,821,6,2008,1,82.4
